file	line	bytes	tag	action	reason
app/routes/admin.posts._index.tsx	40	716	CONTRACT	rewrite	header: the derived state and why it is computed in the loader
app/routes/admin.posts._index.tsx	64	489	CONTRACT	rewrite	header: stated once, and what a mismatch costs
app/routes/admin.posts._index.tsx	79	90	CONTRACT	keep	already one line
app/routes/admin.posts._index.tsx	82	403	CONTRACT	rewrite	header: why the state is in the URL; the example names the failure
app/routes/admin.posts._index.tsx	100	324	WHY	rewrite	header: the rounding direction and the prohibition it protects
app/routes/admin.posts._index.tsx	113	377	WHY	rewrite	tagged by what STAYS; the date, the median and the misdirected fixes go to the history document
app/routes/admin.posts._index.tsx	126	848	CONTRACT	rewrite	the independence and what it buys; the twelve samples go to the history document
app/routes/admin.posts._index.tsx	146	420	WHY	rewrite	the prohibition: a rejection before the await is unhandled
app/routes/admin.posts._index.tsx	162	667	CONTRACT	rewrite	why it joins the group and why it needs no catch
app/routes/admin.posts._index.tsx	197	336	CONTRACT	rewrite	the hydration boundary, which is why the number is computed here
app/routes/admin.posts._index.tsx	207	139	WHY	keep	already at size
app/routes/admin.posts._index.tsx	221	506	WHY	rewrite	the prohibition on public routes awaiting the AI layer, and the one-listing rule
app/routes/admin.posts._index.tsx	229	382	WHY	rewrite	tagged by what STAYS; the measured variance range goes to the history document
app/routes/admin.posts._index.tsx	239	305	WHY	rewrite	why a DO read is a candidate; the diagnosis story goes to the history document
app/routes/admin.posts._index.tsx	247	78	CONTRACT	keep	already one line
app/routes/admin.posts._index.tsx	256	69	CONTRACT	keep	already one line
app/routes/admin.posts._index.tsx	258	243	CONTRACT	rewrite	the prohibition: the count must not follow the filter
app/routes/admin.posts._index.tsx	264	450	CONTRACT	rewrite	one array for count and list; the media library's defect goes to the history document
app/routes/admin.posts._index.tsx	279	67	CONTRACT	keep	already one line
app/routes/admin.posts._index.tsx	281	395	CONTRACT	rewrite	why the whole report travels; the ruling citation stays on one line
