file	line	bytes	tag	action	reason
workers/app.ts	15	295	CONTRACT	rewrite	why the import sits here; the grounds stay on the predicate
workers/app.ts	33	212	CONTRACT	rewrite	why it is re-exported; the measurement goes to the history document
workers/app.ts	43	1394	WHY	rewrite	the prohibition and what it guards; the binding's history and the measured cache behaviour go to the history document
workers/app.ts	69	3358	CONTRACT	rewrite	what the key carries and the one prohibition; the deleted layer, its measurements, the rulings and the dates go to the history document
workers/app.ts	132	864	CONTRACT	rewrite	what it returns, why pure, and where the dimension is added; the outlived detail goes to the history document
workers/app.ts	166	4996	WHY	rewrite	the five prohibitions, each in one line; the ratification dates, the sweep and the copied-snippet story go to the history document
workers/app.ts	257	381	WHY	rewrite	the prohibition and what it would do; the sibling gate's instance goes to the history document
workers/app.ts	267	725	HISTORY	delete	a deleted function's obituary; the principle it carries is stated where the downgrade now lives
workers/app.ts	282	76	CONTRACT	keep	the parameter note; type annotation only
workers/app.ts	289	9321	WHY	rewrite	what is enforced, the live exposure, the two prohibitions and where the builder lives; the eighteen-route walk, the three resolved questions, the falsified option and every date go to the history document
workers/app.ts	444	2058	CONTRACT	rewrite	what it writes and the structural claim, with the correction that claim already needed; the dates and the guard reasoning go to the history document
workers/app.ts	482	135	CONTRACT	rewrite	what is counted; one line already
workers/app.ts	486	38	CONTRACT	keep	what is not a read; one line already
workers/app.ts	488	271	WHY	rewrite	the rule and why at write time; one line
workers/app.ts	507	1047	WHY	rewrite	what the redaction is and that the old rows cannot be fixed; the date, the token length and the ruling go to the history document
workers/app.ts	531	430	WHY	rewrite	why path, and why the redacted one; the fragmentation measurement goes to the history document
workers/app.ts	541	52	WHY	rewrite	the rule; one line already
workers/app.ts	545	1631	CONTRACT	rewrite	the export summary, the split, and what it must not do; the ruling, the date and the previous arrangement go to the history document
workers/app.ts	581	205	CONTRACT	rewrite	parsed once and who reads it; the deleted lookup goes to the history document
workers/app.ts	591	902	WHY	rewrite	why it is generated here and the failure that looks like success; the grounds pointer stays
workers/app.ts	610	1628	WHY	rewrite	why here and not in a loader; the production samples, the route names and the date go to the history document
workers/app.ts	641	674	WHY	rewrite	what the mark is for and what it is not; the twelve-sample residual goes to the history document
workers/app.ts	657	1477	HISTORY	delete	a deleted rule's obituary; the surviving downgrade states its own reason where it now lives
workers/app.ts	680	844	WHY	rewrite	the property and why the rebuild is the catch branch
workers/app.ts	697	385	CONTRACT	rewrite	why absolute and why derived; the parse-once detail goes to the history document
workers/app.ts	703	290	CONTRACT	rewrite	which plane gets the style nonce; the grounds stay on the predicate
workers/app.ts	711	850	HISTORY	delete	an obituary for a call that moved; the gateway states why it lives there now
workers/app.ts	727	1804	CONTRACT	rewrite	what the platform now answers and the one rule that survives; the deleted block's three conditions and the date go to the history document
workers/app.ts	787	1366	CONTRACT	rewrite	the export summary, the four steps and why the order is load bearing; the ruling, the date and the billing argument go to the history document
workers/app.ts	817	1091	WHY	rewrite	the rule, why no-store is load bearing and why the header stays; the live measurement and its date go to the history document
workers/app.ts	847	866	WHY	rewrite	the position and why; the ruling and the D1-query detail go to the history document. The source's hard rule 8 citation was split across a line break and is restored to one line here
workers/app.ts	868	104	CONTRACT	rewrite	what the resolution prevents; one line already
workers/app.ts	876	845	WHY	rewrite	the ordering rule between the two maps and why neither fires on a live file
workers/app.ts	903	369	CONTRACT	rewrite	which spelling is canonical and why; one line
workers/app.ts	922	201	CONTRACT	rewrite	what is read and where the grounds are; one line already
workers/app.ts	930	682	CONTRACT	rewrite	what the loopback is and what it does on a hit; the compatibility date and the preview measurement go to the history document
workers/app.ts	947	1333	WHY	rewrite	why it cannot live in the Renderer, what it is for now, and the fail-closed key; the ruling goes to the history document
workers/app.ts	987	441	CONTRACT	rewrite	what it counts and that the refusals are unchanged; the ruling goes to the history document
workers/app.ts	1001	492	CONTRACT	rewrite	what it consumes and why it is on this entrypoint; the idempotency pointer stays
app/lib/search/ask.server.ts	1	781	CONTRACT	rewrite	the off switch and the one-derivation rule; the ruling pointer stays
app/lib/search/ask.server.ts	36	284	CONTRACT	rewrite	why re-exported rather than re-implemented; one line
app/lib/search/ask.server.ts	53	82	CONTRACT	keep	what it names; one line already
app/lib/search/ask.server.ts	56	1142	NUMBER	rewrite	why the bound is the answer and not the corpus; the stale basis, the date and the rot go to the history document
app/lib/search/ask.server.ts	80	268	WHY	rewrite	why a property check and not a catch; one line
app/lib/search/ask.server.ts	94	77	CONTRACT	keep	what the flag means; one line already
app/lib/search/ask.server.ts	99	370	CONTRACT	rewrite	why the stream is untouched; one line
app/lib/search/ask.server.ts	109	247	WHY	rewrite	why composition lives elsewhere; the measurement stays on that function
app/lib/search/ask.server.ts	123	513	CONTRACT	rewrite	what the tee buys and what null means
app/lib/search/ask.server.ts	143	247	WHY	rewrite	why the frame handling is shared; one line
app/lib/search/ask.server.ts	197	400	CONTRACT	rewrite	why a replay is indistinguishable and why one delta
app/lib/search/ask.server.ts	222	76	CONTRACT	keep	what the field counts; one line already
app/lib/search/ask.server.ts	226	744	WHY	rewrite	the paging rule and the failure it removes; the date and the measured prune go to the history document
app/lib/search/ask.server.ts	241	20	CONTRACT	keep	type annotation only; kept
app/lib/search/ask.server.ts	243	109	NUMBER	rewrite	the API maximum, measured; the rejection message goes to the history document
app/lib/search/ask.server.ts	247	772	WHY	rewrite	why a mark per page and why entries not a map; the arithmetic-not-a-reading argument goes to the history document
app/lib/search/ask.server.ts	269	55	CONTRACT	keep	what it guards against; one line already
app/lib/search/ask.server.ts	275	953	WHY	rewrite	the public-surface rule and why the filter is at upload; the leak, its date and the count go to the history document
app/lib/search/ask.server.ts	297	588	WHY	rewrite	why composed rather than restated; the dates and the hand-rolled copy go to the history document
app/lib/search/ask.server.ts	314	55	CONTRACT	keep	what it answers; one line already
app/lib/search/ask.server.ts	319	707	CONTRACT	rewrite	why built-in storage and the upsert property; the crawler's schedule details go to the history document
app/lib/search/ask.server.ts	334	385	CONTRACT	rewrite	where the corpus comes from and the one-owner reason; the arc goes to the history document
app/lib/search/ask.server.ts	345	217	WHY	rewrite	the fail-closed rule; one line
app/lib/search/ask.server.ts	355	148	CONTRACT	rewrite	why the heading is included; one line already
app/lib/search/ask.server.ts	362	887	CONTRACT	rewrite	the split and why uploading both would be worse; the ruling number and the corpus size go to the history document
app/lib/search/ask.server.ts	381	318	WHY	rewrite	why invalidation happens here; one line
app/lib/search/ask.server.ts	386	146	WHY	rewrite	why a delete and not a write; one line already
app/lib/search/ask.server.ts	393	609	WHY	rewrite	why the module and not D1; the rule citations stay
app/lib/search/ask.server.ts	408	1355	CONTRACT	rewrite	why the assets binding and why a missing twin is reported; the size trade and hard rule 7's shape stay
app/lib/search/ask.server.ts	457	805	CONTRACT	rewrite	why incremental is sound and what the scoped prune is for
app/lib/search/ask.server.ts	476	372	WHY	rewrite	why a draft actively removes; one line
app/lib/search/ask.server.ts	484	1816	WHY	rewrite	the isolation rule and why a failed key still joins live; the measured incident, its date and the count go to the history document
app/lib/search/ask.server.ts	522	222	WHY	rewrite	why this one is not caught; one line
app/lib/search/ask.server.ts	545	263	WHY	rewrite	what is matched and the trap avoided; one line
app/lib/search/ask.server.ts	562	142	WHY	rewrite	why a delete and not a write; one line already
app/lib/search/ask.server.ts	565	269	WHY	rewrite	why the subtraction; the nine-record example goes to the history document
app/lib/search/ask.server.ts	579	635	CONTRACT	rewrite	why drift is made visible and the both-directions rule
app/lib/search/ask.server.ts	592	731	CONTRACT	rewrite	where the expected set comes from and the binding that keeps the two filters in step; the fetch size goes to the history document
app/lib/search/ask.server.ts	606	623	WHY	rewrite	why concurrent and where it matters; the median and the mark attribution go to the history document
app/lib/search/ask.server.ts	623	577	WHY	rewrite	why the papers are expected and what their absence would cause
app/lib/search/ask.server.ts	645	1137	CONTRACT	rewrite	why the value moves rather than the loader, and why a getter; the gate fixture reasoning goes to the history document
app/lib/search/ask.server.ts	669	238	CONTRACT	rewrite	why null rather than throwing; one line
app/lib/search/ask.server.ts	675	80	CONTRACT	keep	what the memo buys; one line already
app/lib/search/ask.server.ts	691	4035	CONTRACT	rewrite	what the cache hides, the structural early return, the two failure choices and why waitUntil; the samples, the dates and the loop's four steps go to the history document
app/lib/search/ask.server.ts	771	128	CONTRACT	rewrite	what the early return guarantees; one line already
app/lib/search/ask.server.ts	775	198	WHY	rewrite	why the rejection is folded here; one line
